frame1,frame2,image_diff,gt_diff,,,,,,
00054237.png,00054238.png,9.25328350067139,7.1576452255249,2.87,,,,,
00054238.png,00054239.png,9.57248878479004,6.42494297027588,0.73,,,,,
00054239.png,00054240.png,9.16582679748535,7.354172706604,0.93,,,,,
00054240.png,00054241.png,8.82285690307617,8.59779357910156,1.24,,,,,
00054241.png,00054242.png,13.4728126525879,8.73206901550293,0.13,,,,,
00054242.png,00054243.png,8.95851230621338,7.25670719146729,1.48,,,,,
00054243.png,00054244.png,8.37177276611328,7.27221632003784,0.02,,,,,
00054244.png,00054245.png,12.7367010116577,8.56043910980225,1.29,,,,,
00054245.png,00054246.png,8.86677074432373,8.56152725219727,0.00,,,,,
00054246.png,00054247.png,9.04604530334473,6.67307424545288,1.89,,,,,
00054247.png,00054248.png,8.26104927062988,4.81178712844849,1.86,,,,,
00054248.png,00054249.png,8.08184623718262,3.25054693222046,1.56,,,,,
00054249.png,00054250.png,7.27615022659302,2.46885371208191,0.78,,,,,
00054250.png,00054251.png,7.52262830734253,2.52673697471619,0.06,,,,,
00054251.png,00054252.png,10.7307434082031,3.53921151161194,1.01,,,,,
00054252.png,00054253.png,7.54368877410889,3.05839705467224,0.48,,,,,
00054253.png,00054254.png,7.63380575180054,2.98246240615845,0.08,,,,,
00054254.png,00054255.png,7.63973999023438,3.10162806510925,0.12,,,,,
00054255.png,00054256.png,10.9495697021484,4.03303480148315,0.93,,,,,
00054256.png,00054257.png,7.39700841903687,2.53794407844543,1.50,,,,,
00054257.png,00054258.png,10.7590160369873,3.4284610748291,0.89,,,,,
00054258.png,00054259.png,7.35309791564941,2.76933407783508,0.66,,,,,
00054259.png,00054260.png,7.34828853607178,3.16203904151917,0.39,,,,,
00054260.png,00054261.png,7.55481481552124,3.06095623970032,0.10,,,,,
00054261.png,00054262.png,7.34750652313232,3.00194597244263,0.06,,,,,
00054262.png,00054263.png,10.4203548431396,3.62119317054749,0.62,,,,,
00054263.png,00054264.png,6.92440223693848,2.83130073547363,0.79,,,,,
00054264.png,00054265.png,6.82131242752075,2.27495217323303,0.56,,,,,
00054265.png,00054266.png,6.87257719039917,4.18703937530518,1.91,,,,,
00054266.png,00054267.png,6.74096536636353,3.84053826332092,0.35,,,,,
00054267.png,00054268.png,9.57562828063965,5.61084270477295,1.77,,,,,
00054268.png,00054269.png,6.62160110473633,3.41143941879272,2.20,,,,,
00054269.png,00054270.png,6.69607925415039,4.20536279678345,0.79,,,,,
00054270.png,00054271.png,6.84792947769165,3.9765408039093,0.23,,,,,
00054271.png,00054272.png,6.96421051025391,4.32270669937134,0.35,,,,,
00054272.png,00054273.png,6.91161918640137,3.94088983535767,0.38,,,,,
00054273.png,00054274.png,9.93452739715576,6.37630796432495,2.44,,,,,
00054274.png,00054275.png,6.95425176620483,6.53429460525513,0.16,,,,,
00054275.png,00054276.png,6.93731641769409,5.47580051422119,1.06,,,,,
00054276.png,00054277.png,9.89349460601807,6.08617496490479,0.61,,,,,
00054277.png,00054278.png,6.86884784698486,7.26363945007324,1.18,,,,,
00054278.png,00054279.png,6.80751514434814,7.65902185440064,0.40,,,,,
00054279.png,00054280.png,6.7792592048645,6.45587825775147,1.20,,,,,
00054280.png,00054281.png,6.7877836227417,6.17125272750855,0.28,,,,,
00054281.png,00054282.png,6.80398464202881,7.4101357460022,1.24,,,,,
00054282.png,00054283.png,9.54210090637207,7.08189582824707,0.33,,,,,
00054283.png,00054284.png,6.64878940582275,6.42730379104614,0.65,,,,,
00054284.png,00054285.png,6.71688604354858,5.70416975021362,0.72,,,,,
00054285.png,00054286.png,9.82016754150391,7.06110143661499,1.36,,,,,
00054286.png,00054287.png,6.79849767684937,4.18066692352295,2.88,,,,,
00054287.png,00054288.png,7.23402833938599,5.38691854476929,1.21,,,,,
00054288.png,00054289.png,6.70661020278931,5.64004993438721,0.25,,,,,
00054289.png,00054290.png,6.89651203155518,5.44098949432373,0.20,,,,,
00054290.png,00054291.png,10.5341148376465,6.70624494552612,1.27,,,,,
00054291.png,00054292.png,7.18513202667236,5.85661602020264,0.85,,,,,
00054292.png,00054293.png,7.39121437072754,6.74737024307251,0.89,,,,,
00054293.png,00054294.png,11.3596954345703,8.42333316802979,1.68,,,,,
00054294.png,00054295.png,7.93209552764893,6.74465799331665,1.68,,,,,
00054295.png,00054296.png,7.91254615783691,9.36140441894531,2.62,,,,,
